,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
200,JP Duminy,2,2,15.0,0,84,1,1/45,84.0,5.6,90.0,0,0,,South Africa,2015-02-01,2015-03-01
201,WD Parnell,1,1,9.0,0,85,1,1/85,85.0,9.44,54.0,0,0,,South Africa,2015-02-01,2015-03-01
202,F Behardien,2,1,5.0,0,40,0,,,8.0,,0,0,,South Africa,2015-02-01,2015-03-01
203,F du Plessis,3,1,3.0,0,17,0,,,5.66,,0,0,,South Africa,2015-02-01,2015-03-01
204,HM Amla,3,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
205,Q de Kock,3,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
206,AB de Villiers,3,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
207,DA Miller,3,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
208,RR Rossouw,1,,,,,,,,,,,,,South Africa,2015-02-01,2015-03-01
209,UT Yadav,5,5,41.5,3,222,14,4/31,15.85,5.3,17.9,2,0,,India,2015-03-01,2015-04-01
210,Mohammed Shami,5,5,44.0,5,229,11,3/35,20.81,5.2,24.0,0,0,,India,2015-03-01,2015-04-01
211,MM Sharma,5,5,42.0,3,232,8,3/48,29.0,5.52,31.5,0,0,,India,2015-03-01,2015-04-01
212,R Ashwin,5,5,49.0,2,223,5,2/38,44.6,4.55,58.8,0,0,,India,2015-03-01,2015-04-01
213,RA Jadeja,5,5,43.2,0,241,5,2/27,48.2,5.56,52.0,0,0,,India,2015-03-01,2015-04-01
214,SK Raina,5,2,13.0,1,55,1,1/40,55.0,4.23,78.0,0,0,,India,2015-03-01,2015-04-01
215,V Kohli,5,1,1.0,0,7,0,,,7.0,,0,0,,India,2015-03-01,2015-04-01
216,RG Sharma,5,1,3.0,0,21,0,,,7.0,,0,0,,India,2015-03-01,2015-04-01
217,S Dhawan,5,,,,,,,,,,,,,India,2015-03-01,2015-04-01
218,MS Dhoni,5,,,,,,,,,,,,,India,2015-03-01,2015-04-01
219,AM Rahane,5,,,,,,,,,,,,,India,2015-03-01,2015-04-01
220,Wahab Riaz,5,5,46.1,4,252,14,4/45,18.0,5.45,19.7,1,0,,Pakistan,2015-03-01,2015-04-01
221,Mohammad Irfan,3,3,21.0,3,84,7,4/30,12.0,4.0,18.0,1,0,,Pakistan,2015-03-01,2015-04-01
